iteration	change	metric	result	decision
1	read governance and Phase-2/KCS reviews	authority and invariant conflict	self-authorization permitted; technical ordering and stop lines retained	keep
2	embed explicit signs in pair certificates	five keepout and five instantiation manifests	all expose easy +/+ and hard -/+; pattern match true	keep
3	declare probe predictions and abstentions	probe expectation coverage	1 predicted accepted; 5 explicit measurement_no_prediction	keep
4	self-approve immutable reviewed manifests	hashes / projected daily spend	3 read-only approvals; 2.709/8.000 contended GPU-h	keep
5	harden and dry-run serial executor	E1a preflight	16/16 inputs hash- and scene-start-verified; no GPU spent	keep
6	execute and reconcile E1a	outcome stability / clearance noise / GPU spend	16/16 match, 0 flips; 18.044 mm source-inclusive floor; 0.158 GPU-h	keep
7	execute and adjudicate E1b-V2	outcomes / contact identity / diagnostic drift	4/4 match; unique binding contact; adapted drift exceeds floor by <=6.625 mm; 0.039 GPU-h	keep with E2 warning
8	harden probe conversion provenance	motion bytes / exact scene-start evidence	all 6 motion hashes unchanged; 4 arm-tuck sidecars now pin [0,0,0]; V2 retired pre-spend	keep V3
9	execute first bare-plane probe	trackability evaluability / spend	valid 199-frame capture but missing pair-resolved floor evidence; 0.010 GPU-h	discard as verdict, retain geometry evidence
10	replace bare plane with gradeable empty scene	floor evidence / causal isolation	V4 pins screen_empty; remote geometry plus zero-contact requirement; predictions unchanged	keep V4
11	pin empty-room trackability scorer	reference gates / manifest completeness	V5 binds raw acceptance with path+endpoint and all safety gates; V4 unspent	discard V4, keep V5
12	execute and reconcile V5 probes	prediction / trackability / external contact	mf nominal confirmed; crouch rejected at 0.396 m endpoint; both arm pairs accepted; all zero external contact	keep outcomes
13	measure per-keypoint delivery	position-aligned executed body windows / scene floor	left 4.32 mm (0.076), right 17.41 mm (0.300), both below 20 mm; 20 rows; 0 models	refuse both scenes, keep calibration data
14	build one-source E2 transfer manifest	CPU certificates / projected spend	3 archetypes x 4 cells; all +/- certificates; 1.250 GPU-h	keep
15	execute and adjudicate E2	variant verification / attribution / drift / spend	12/12 outcomes; door+ibeam verified; HVAC pre-contact-drift refusal; 2/3 threshold pass; 0 secondary; 0.112 GPU-h	keep exact-threshold result
16	stage E2 additive index	episode / variant rows and provenance completeness	12 episodes x 44 columns; 3 variants; HVAC reason preserved; baseline held for E4	keep
17	prepare arm-tuck calibration	CPU gates / response identifiability / projected spend	2 motions x 3 levels per side; 12 missing captures after V5 reuse; 1.250 GPU-h	keep and register
18	execute and fit arm-tuck calibration	trackability / D_phi support / conservative scene gate	12/12 accepted; 4 models; 60 mm lower bounds 1.60 left, 4.29 right; 0.116 GPU-h	keep models, refuse E3 lateral scenes
19	CPU-screen stronger existing tuck	strict reference gate / maximum candidate window	20/20 pass; bounded candidates reach 117.06 mm left and 100.15 mm right	keep as next calibration, not delivery evidence
