iteration	change	metric	result	decision
1	review CAL1 fit contract	cross-motion uncertainty at matched alpha levels	near-equal right commands (60.88/61.43 mm) were treated as a steep curve instead of replicate variability	repair before further spend
2	pool delivery observations by registered alpha	matched-motion residual / regression coverage	fit now averages command and response per level and requires two motions at every level; two regressions added	keep pending full verification
3	extend alpha beyond the CAL1 anchor	strong-command identity / schema validity	alpha is now a nonnegative scale; CAL1 remains 1 and 120 mm commands can be registered as 2 without renormalization	keep with D2-010
4	select matched CAL2 strong cohort	CPU reference gate / command separation / reuse	left 116.50/117.98 mm at alpha2; right 95.37/100.15 mm at alpha2.5; 3 nominals reused; 5 new cells	keep and register
5	execute CAL2	trackability / dependency / spend	086-left and both right strong accepted; 094-left nominal rejected by endpoint+contact; strong skipped; 0.030 GPU-h	keep full denominator, refuse strong-left fit
6	preserve supported model range	partial-level behavior / regression coverage	unreplicated alpha2 is retained as unsupported metadata without invalidating the three replicated CAL1 levels	keep
7	reconcile CAL2 delivery	matched-level conservative lower bound	right wrist lower bound 23.84 mm falsifies the below-20 prediction; left strong level is unidentifiable	keep right as CPU-search gate only
8	repair lateral coordinate contract	full-gap two-face geometry / regression coverage	new exact world-fixed full-gap reach replaces half-width misuse; max-alpha and open-bin regressions pass	keep with D2-012
9	search time-mapped lateral faces	all-capsule anatomy / noise / DCS target	1 of 24 trials survives; 084/right fills rank-48 target with 56.41 mm certified window; 092/right refused	keep one CPU candidate, preserve 23 refusals
10	close lateral skirt path	Tier-2 four-sign / declared face extent	binding panels now extend 8.747 m outward; exact clearances +35.998/+112.125/-32.806/+26.419 mm	keep and register four-cell physics pilot
11	execute E3 lateral pilot	registered pattern / contact attribution / spend	3/4 outcomes; adapted-hard binding contact at frame 115 precedes drift at 142; 0.040 GPU-h	discard candidate, retain causal failure
12	recertify retry from accepted context	exact full-gap reach / target-bin boundary	adapted-easy requires 0.906489 m before 36.088 mm uncertainty, outside 0.8_0.9	refuse in-bin retry with D2-015
13	screen crouch cohort	strict reference gate / route straightness	60/60 settings pass across 15 motions; select uncapped 090/086/089/095 at 80 mm	keep four for CAL3 only
14	execute CAL3	matched trackability / spend	all four nominals and 3/4 adapted accepted; 095 adapted endpoint-rejected; 0.063 GPU-h	keep three executed pairs
15	intersect finite overhead windows with DCS	exact reach / temporal anatomy / empty targets	36 trials; max raw window 72.26 mm; zero target matches because feasible head/torso coordinates occupy 1.2_1.3	confirm CAL3, refuse crouch scene synthesis with D2-016
